Start Date,End Date,Duration,Magnitude
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days],[mm]
1988-02-26 00:00:00,1988-03-12 00:00:00,16,32.435960895
1988-03-17 00:00:00,1988-03-17 00:00:00,1,4.78e-07
1988-03-19 00:00:00,1988-04-14 00:00:00,27,211.87068196599998
1988-04-17 00:00:00,1988-04-26 00:00:00,10,9.407629786999998
1988-04-28 00:00:00,1988-05-03 00:00:00,6,7.4442183140000004
1988-05-05 00:00:00,1988-05-05 00:00:00,1,0.000171709
1988-05-08 00:00:00,1988-05-08 00:00:00,1,0.005084048
1988-05-11 00:00:00,1988-05-23 00:00:00,13,18.553321826
1988-05-28 00:00:00,1988-05-28 00:00:00,1,0.013696641
1988-05-31 00:00:00,1988-06-06 00:00:00,7,62.062334688
1988-06-14 00:00:00,1988-06-18 00:00:00,5,11.664306406000001
1988-06-24 00:00:00,1988-06-28 00:00:00,5,1.9203454480000002
1988-07-01 00:00:00,1988-07-08 00:00:00,8,97.465040106
1988-07-11 00:00:00,1988-07-14 00:00:00,4,10.084970237999999
1988-07-18 00:00:00,1988-07-18 00:00:00,1,0.263892265
1988-07-20 00:00:00,1988-07-22 00:00:00,3,4.158084241
1988-08-02 00:00:00,1988-08-04 00:00:00,3,1.313702369
1988-08-06 00:00:00,1988-08-06 00:00:00,1,0.014287598
1988-08-12 00:00:00,1988-08-17 00:00:00,6,5.800632255
1988-08-19 00:00:00,1988-08-29 00:00:00,11,67.08313300900001
1988-08-31 00:00:00,1988-09-16 00:00:00,17,22.44896267
1988-09-27 00:00:00,1988-09-28 00:00:00,2,4.3982087960000005
1988-10-02 00:00:00,1988-10-02 00:00:00,1,0.000994491
1988-10-06 00:00:00,1988-10-07 00:00:00,2,0.023446424
1988-10-16 00:00:00,1988-10-17 00:00:00,2,3.7748027079999997
1988-10-23 00:00:00,1988-10-27 00:00:00,5,15.177483048000001
1988-10-31 00:00:00,1988-10-31 00:00:00,1,0.064400099
1988-11-05 00:00:00,1988-11-08 00:00:00,4,8.544723071
1988-11-10 00:00:00,1988-11-10 00:00:00,1,0.021798928
1988-11-12 00:00:00,1988-11-13 00:00:00,2,0.032159573
1988-11-15 00:00:00,1988-11-16 00:00:00,2,14.737856464
1988-11-21 00:00:00,1988-11-22 00:00:00,2,0.76236813
1988-11-24 00:00:00,1988-12-03 00:00:00,10,12.376942532000001
1988-12-05 00:00:00,1989-01-09 00:00:00,36,221.19373221600003
1989-01-11 00:00:00,1989-01-16 00:00:00,6,2.475155806
1989-01-19 00:00:00,1989-02-08 00:00:00,21,63.665678159
1989-02-10 00:00:00,1989-02-22 00:00:00,13,14.013973918000001
1989-02-24 00:00:00,1989-03-10 00:00:00,15,15.276171807
1989-03-16 00:00:00,1989-04-14 00:00:00,30,217.21534867899996
1989-04-16 00:00:00,1989-04-16 00:00:00,1,0.002399877
1989-04-20 00:00:00,1989-05-03 00:00:00,14,179.82582557399996
1989-05-05 00:00:00,1989-05-24 00:00:00,20,78.709159383
1989-05-26 00:00:00,1989-06-14 00:00:00,20,28.396542305999994
1989-06-16 00:00:00,1989-06-19 00:00:00,4,1.208707449
1989-06-21 00:00:00,1989-07-04 00:00:00,14,18.706269588
1989-07-06 00:00:00,1989-07-06 00:00:00,1,0.002352943
1989-07-08 00:00:00,1989-07-13 00:00:00,6,21.582239421
1989-07-16 00:00:00,1989-07-18 00:00:00,3,1.6805050250000002
1989-07-21 00:00:00,1989-07-21 00:00:00,1,0.066117836
1989-07-23 00:00:00,1989-07-25 00:00:00,3,12.678814808
1989-07-27 00:00:00,1989-07-29 00:00:00,3,0.156187849
1989-07-31 00:00:00,1989-08-03 00:00:00,4,0.9496986869999999
1989-08-05 00:00:00,1989-08-09 00:00:00,5,3.351531197
1989-08-16 00:00:00,1989-08-25 00:00:00,10,46.158443598999995
1989-08-27 00:00:00,1989-08-27 00:00:00,1,0.473279478
1989-08-31 00:00:00,1989-09-02 00:00:00,3,5.975963588
1989-09-04 00:00:00,1989-09-05 00:00:00,2,0.355974952
1989-09-10 00:00:00,1989-09-13 00:00:00,4,7.9175641699999995
1989-09-18 00:00:00,1989-09-18 00:00:00,1,0.927167457
1989-09-21 00:00:00,1989-09-22 00:00:00,2,0.007684949
1989-09-24 00:00:00,1989-09-26 00:00:00,3,4.490312835
1989-10-09 00:00:00,1989-10-11 00:00:00,3,0.5677367209999999
1989-10-16 00:00:00,1989-10-28 00:00:00,13,54.902053382999995
1989-10-30 00:00:00,1989-11-28 00:00:00,30,159.20489403300004
1989-12-01 00:00:00,1989-12-11 00:00:00,11,8.008010244
1989-12-13 00:00:00,1989-12-20 00:00:00,8,12.607688518000003
1989-12-22 00:00:00,1989-12-27 00:00:00,6,36.00025418600001
1989-12-30 00:00:00,1989-12-30 00:00:00,1,0.041054353
1990-01-04 00:00:00,1990-01-05 00:00:00,2,0.152765128
1990-01-07 00:00:00,1990-01-07 00:00:00,1,0.000171709
1990-01-10 00:00:00,1990-01-17 00:00:00,8,69.631674754
1990-01-19 00:00:00,1990-01-19 00:00:00,1,0.667778203
1990-01-21 00:00:00,1990-01-27 00:00:00,7,5.167518718999999
1990-01-30 00:00:00,1990-03-07 00:00:00,37,138.808333691
1990-03-09 00:00:00,1990-03-09 00:00:00,1,0.168719299
1990-03-12 00:00:00,1990-03-14 00:00:00,3,1.596552448
1990-03-22 00:00:00,1990-04-27 00:00:00,37,204.57788195500004
1990-05-02 00:00:00,1990-05-05 00:00:00,4,0.015286629000000001
1990-05-08 00:00:00,1990-05-19 00:00:00,12,12.030987037
1990-05-21 00:00:00,1990-05-31 00:00:00,11,118.534422462
1990-06-05 00:00:00,1990-06-21 00:00:00,17,35.641590631
1990-06-23 00:00:00,1990-06-26 00:00:00,4,6.345573234000001
1990-06-29 00:00:00,1990-06-29 00:00:00,1,0.026232774
1990-07-01 00:00:00,1990-07-02 00:00:00,2,0.376885244
1990-07-13 00:00:00,1990-07-20 00:00:00,8,1.167279959
1990-07-24 00:00:00,1990-07-24 00:00:00,1,0.000151614
1990-07-27 00:00:00,1990-08-04 00:00:00,9,41.209930246
1990-08-09 00:00:00,1990-08-11 00:00:00,3,4.79855723
1990-08-15 00:00:00,1990-08-16 00:00:00,2,0.935795348
1990-08-22 00:00:00,1990-08-22 00:00:00,1,0.000649881
1990-08-30 00:00:00,1990-09-03 00:00:00,5,2.279006779
1990-09-11 00:00:00,1990-09-11 00:00:00,1,0.009558003
1990-09-13 00:00:00,1990-09-16 00:00:00,4,4.349367807
1990-09-23 00:00:00,1990-09-25 00:00:00,3,4.622159232
1990-09-27 00:00:00,1990-09-27 00:00:00,1,0.126405212
1990-09-30 00:00:00,1990-10-02 00:00:00,3,0.620870782
1990-10-06 00:00:00,1990-10-12 00:00:00,7,25.528642965
1990-10-16 00:00:00,1990-10-22 00:00:00,7,21.865923611
1990-11-03 00:00:00,1990-11-09 00:00:00,7,40.455505583000004
1990-11-20 00:00:00,1990-11-24 00:00:00,5,0.642760571
1990-11-27 00:00:00,1990-11-28 00:00:00,2,0.8022852349999999
1990-12-03 00:00:00,1990-12-07 00:00:00,5,23.958840475
1990-12-10 00:00:00,1990-12-15 00:00:00,6,28.309660820999998
1990-12-21 00:00:00,1991-01-07 00:00:00,18,64.859043118
1991-01-10 00:00:00,1991-01-11 00:00:00,2,0.167533338
1991-01-14 00:00:00,1991-01-14 00:00:00,1,0.052611226
1991-01-17 00:00:00,1991-01-23 00:00:00,7,40.038922553000006
1991-01-25 00:00:00,1991-01-31 00:00:00,7,35.998286332999996
1991-02-05 00:00:00,1991-02-10 00:00:00,6,91.59961491700001
1991-02-12 00:00:00,1991-02-14 00:00:00,3,1.383965829
1991-02-17 00:00:00,1991-02-20 00:00:00,4,0.992941231
1991-02-23 00:00:00,1991-03-14 00:00:00,20,11.164081424999997
1991-03-19 00:00:00,1991-03-19 00:00:00,1,0.001874498
1991-03-28 00:00:00,1991-04-04 00:00:00,8,33.265006153
1991-04-09 00:00:00,1991-04-12 00:00:00,4,1.521032574
1991-04-14 00:00:00,1991-04-16 00:00:00,3,0.054554585
1991-04-30 00:00:00,1991-04-30 00:00:00,1,0.049415523
1991-05-02 00:00:00,1991-05-03 00:00:00,2,0.486683737
1991-05-08 00:00:00,1991-05-11 00:00:00,4,1.860476322
1991-05-13 00:00:00,1991-05-26 00:00:00,14,25.634500185999993
1991-05-28 00:00:00,1991-06-01 00:00:00,5,7.739058298000001
1991-06-03 00:00:00,1991-06-13 00:00:00,11,15.096865778000002
1991-06-21 00:00:00,1991-06-22 00:00:00,2,1.316706095
1991-06-26 00:00:00,1991-06-26 00:00:00,1,0.044103243
1991-07-03 00:00:00,1991-07-05 00:00:00,3,0.207889816
1991-07-07 00:00:00,1991-07-07 00:00:00,1,6.75e-05
1991-07-09 00:00:00,1991-07-10 00:00:00,2,19.432341799
1991-07-13 00:00:00,1991-07-13 00:00:00,1,0.000171709
