Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1991-01-13 00:00:00,1991-01-13 00:00:00,1
1991-01-16 00:00:00,1991-01-16 00:00:00,1
1991-02-01 00:00:00,1991-02-02 00:00:00,2
1991-02-11 00:00:00,1991-02-11 00:00:00,1
1991-03-18 00:00:00,1991-03-18 00:00:00,1
1991-03-20 00:00:00,1991-03-27 00:00:00,8
1991-04-19 00:00:00,1991-04-22 00:00:00,4
1991-04-24 00:00:00,1991-04-29 00:00:00,6
1991-05-04 00:00:00,1991-05-04 00:00:00,1
1991-05-07 00:00:00,1991-05-07 00:00:00,1
1991-05-12 00:00:00,1991-05-12 00:00:00,1
1991-06-14 00:00:00,1991-06-18 00:00:00,5
1991-06-20 00:00:00,1991-06-20 00:00:00,1
1991-06-24 00:00:00,1991-06-25 00:00:00,2
1991-06-28 00:00:00,1991-06-28 00:00:00,1
1991-06-30 00:00:00,1991-06-30 00:00:00,1
1991-07-02 00:00:00,1991-07-02 00:00:00,1
1991-07-06 00:00:00,1991-07-06 00:00:00,1
1991-07-11 00:00:00,1991-07-12 00:00:00,2
1991-07-14 00:00:00,1991-07-14 00:00:00,1
1991-07-16 00:00:00,1991-07-21 00:00:00,6
1991-07-25 00:00:00,1991-08-10 00:00:00,17
1991-08-13 00:00:00,1991-08-16 00:00:00,4
1991-08-18 00:00:00,1991-08-18 00:00:00,1
1991-08-20 00:00:00,1991-08-22 00:00:00,3
1991-08-24 00:00:00,1991-08-28 00:00:00,5
1991-08-31 00:00:00,1991-09-09 00:00:00,10
1991-09-12 00:00:00,1991-09-16 00:00:00,5
1991-09-20 00:00:00,1991-09-23 00:00:00,4
1991-09-29 00:00:00,1991-10-07 00:00:00,9
1991-10-12 00:00:00,1991-10-14 00:00:00,3
1991-10-16 00:00:00,1991-10-16 00:00:00,1
1991-10-21 00:00:00,1991-10-21 00:00:00,1
1991-10-29 00:00:00,1991-10-29 00:00:00,1
1991-11-07 00:00:00,1991-11-07 00:00:00,1
1991-11-19 00:00:00,1991-11-19 00:00:00,1
1991-11-27 00:00:00,1991-11-27 00:00:00,1
1991-12-24 00:00:00,1991-12-26 00:00:00,3
1992-01-12 00:00:00,1992-01-16 00:00:00,5
1992-01-20 00:00:00,1992-01-21 00:00:00,2
1992-03-06 00:00:00,1992-03-06 00:00:00,1
1992-03-21 00:00:00,1992-03-21 00:00:00,1
1992-05-01 00:00:00,1992-05-03 00:00:00,3
1992-05-23 00:00:00,1992-05-23 00:00:00,1
1992-05-25 00:00:00,1992-05-28 00:00:00,4
1992-06-05 00:00:00,1992-06-06 00:00:00,2
1992-06-08 00:00:00,1992-06-08 00:00:00,1
1992-06-11 00:00:00,1992-06-14 00:00:00,4
1992-06-18 00:00:00,1992-06-21 00:00:00,4
1992-06-26 00:00:00,1992-06-29 00:00:00,4
1992-07-08 00:00:00,1992-07-08 00:00:00,1
1992-07-10 00:00:00,1992-07-10 00:00:00,1
1992-07-12 00:00:00,1992-07-13 00:00:00,2
1992-07-22 00:00:00,1992-07-22 00:00:00,1
1992-07-25 00:00:00,1992-07-25 00:00:00,1
1992-08-05 00:00:00,1992-08-05 00:00:00,1
1992-08-12 00:00:00,1992-08-16 00:00:00,5
1992-08-18 00:00:00,1992-08-22 00:00:00,5
1992-08-25 00:00:00,1992-08-26 00:00:00,2
1992-08-28 00:00:00,1992-08-29 00:00:00,2
1992-09-05 00:00:00,1992-09-06 00:00:00,2
1992-09-12 00:00:00,1992-09-14 00:00:00,3
1992-09-17 00:00:00,1992-09-17 00:00:00,1
1992-09-19 00:00:00,1992-09-21 00:00:00,3
1992-09-24 00:00:00,1992-09-24 00:00:00,1
1992-09-27 00:00:00,1992-09-28 00:00:00,2
1992-10-02 00:00:00,1992-10-02 00:00:00,1
1992-10-06 00:00:00,1992-10-07 00:00:00,2
1992-10-12 00:00:00,1992-10-12 00:00:00,1
1992-10-15 00:00:00,1992-10-17 00:00:00,3
1992-10-22 00:00:00,1992-10-22 00:00:00,1
1992-10-24 00:00:00,1992-10-24 00:00:00,1
1992-10-26 00:00:00,1992-10-26 00:00:00,1
1992-11-08 00:00:00,1992-11-08 00:00:00,1
1992-11-11 00:00:00,1992-11-13 00:00:00,3
1992-11-23 00:00:00,1992-11-23 00:00:00,1
1992-11-27 00:00:00,1992-11-27 00:00:00,1
1992-12-02 00:00:00,1992-12-02 00:00:00,1
1992-12-13 00:00:00,1992-12-13 00:00:00,1
1992-12-23 00:00:00,1992-12-23 00:00:00,1
1993-01-02 00:00:00,1993-01-02 00:00:00,1
1993-01-20 00:00:00,1993-01-20 00:00:00,1
1993-01-23 00:00:00,1993-01-24 00:00:00,2
1993-01-29 00:00:00,1993-01-29 00:00:00,1
1993-02-04 00:00:00,1993-02-04 00:00:00,1
1993-03-03 00:00:00,1993-03-03 00:00:00,1
1993-03-31 00:00:00,1993-03-31 00:00:00,1
1993-04-05 00:00:00,1993-04-08 00:00:00,4
1993-04-21 00:00:00,1993-04-22 00:00:00,2
1993-05-02 00:00:00,1993-05-02 00:00:00,1
1993-05-05 00:00:00,1993-05-06 00:00:00,2
1993-05-08 00:00:00,1993-05-08 00:00:00,1
1993-05-16 00:00:00,1993-05-16 00:00:00,1
1993-06-09 00:00:00,1993-06-09 00:00:00,1
1993-06-14 00:00:00,1993-06-15 00:00:00,2
1993-06-19 00:00:00,1993-06-28 00:00:00,10
1993-07-31 00:00:00,1993-08-01 00:00:00,2
1993-08-03 00:00:00,1993-08-08 00:00:00,6
1993-08-10 00:00:00,1993-08-22 00:00:00,13
1993-09-11 00:00:00,1993-09-11 00:00:00,1
1993-09-18 00:00:00,1993-09-18 00:00:00,1
1993-09-20 00:00:00,1993-09-22 00:00:00,3
1993-09-28 00:00:00,1993-09-28 00:00:00,1
1993-10-02 00:00:00,1993-10-03 00:00:00,2
1993-10-08 00:00:00,1993-10-11 00:00:00,4
1993-11-04 00:00:00,1993-11-06 00:00:00,3
1993-11-18 00:00:00,1993-11-19 00:00:00,2
1993-11-28 00:00:00,1993-12-02 00:00:00,5
1993-12-04 00:00:00,1993-12-04 00:00:00,1
1993-12-15 00:00:00,1993-12-15 00:00:00,1
1993-12-19 00:00:00,1993-12-19 00:00:00,1
1993-12-21 00:00:00,1993-12-21 00:00:00,1
1993-12-28 00:00:00,1993-12-29 00:00:00,2
1994-01-01 00:00:00,1994-01-03 00:00:00,3
1994-01-06 00:00:00,1994-01-07 00:00:00,2
1994-02-17 00:00:00,1994-02-17 00:00:00,1
1994-03-12 00:00:00,1994-03-12 00:00:00,1
1994-03-14 00:00:00,1994-03-15 00:00:00,2
1994-03-17 00:00:00,1994-03-17 00:00:00,1
1994-04-03 00:00:00,1994-04-03 00:00:00,1
1994-04-14 00:00:00,1994-04-15 00:00:00,2
1994-05-08 00:00:00,1994-05-08 00:00:00,1
1994-05-13 00:00:00,1994-05-21 00:00:00,9
1994-05-23 00:00:00,1994-05-28 00:00:00,6
1994-06-12 00:00:00,1994-06-13 00:00:00,2
1994-06-17 00:00:00,1994-06-19 00:00:00,3
1994-06-22 00:00:00,1994-06-23 00:00:00,2
1994-06-26 00:00:00,1994-06-26 00:00:00,1
1994-06-28 00:00:00,1994-06-28 00:00:00,1
1994-07-15 00:00:00,1994-07-15 00:00:00,1
1994-07-17 00:00:00,1994-07-17 00:00:00,1
1994-07-22 00:00:00,1994-07-22 00:00:00,1
1994-07-24 00:00:00,1994-07-24 00:00:00,1
1994-07-27 00:00:00,1994-07-27 00:00:00,1
1994-07-29 00:00:00,1994-07-29 00:00:00,1
1994-08-02 00:00:00,1994-08-02 00:00:00,1
1994-08-04 00:00:00,1994-08-05 00:00:00,2
1994-08-07 00:00:00,1994-08-09 00:00:00,3
1994-08-13 00:00:00,1994-08-14 00:00:00,2
1994-08-20 00:00:00,1994-08-20 00:00:00,1
1994-08-23 00:00:00,1994-08-23 00:00:00,1
1994-08-25 00:00:00,1994-08-25 00:00:00,1
1994-09-03 00:00:00,1994-09-05 00:00:00,3
1994-09-07 00:00:00,1994-09-07 00:00:00,1
1994-09-09 00:00:00,1994-09-09 00:00:00,1
1994-09-12 00:00:00,1994-09-12 00:00:00,1
1994-09-15 00:00:00,1994-09-29 00:00:00,15
1994-10-04 00:00:00,1994-10-06 00:00:00,3
1994-10-11 00:00:00,1994-10-11 00:00:00,1
1994-10-27 00:00:00,1994-10-28 00:00:00,2
1994-11-04 00:00:00,1994-11-05 00:00:00,2
1994-11-07 00:00:00,1994-11-11 00:00:00,5
1994-11-13 00:00:00,1994-11-13 00:00:00,1
1994-11-26 00:00:00,1994-11-26 00:00:00,1
1994-11-28 00:00:00,1994-11-29 00:00:00,2
1994-12-15 00:00:00,1994-12-16 00:00:00,2
1994-12-20 00:00:00,1994-12-22 00:00:00,3
1994-12-28 00:00:00,1994-12-29 00:00:00,2
1995-01-15 00:00:00,1995-01-15 00:00:00,1
1995-01-25 00:00:00,1995-01-25 00:00:00,1
1995-01-27 00:00:00,1995-01-27 00:00:00,1
1995-02-02 00:00:00,1995-02-02 00:00:00,1
1995-03-15 00:00:00,1995-03-15 00:00:00,1
1995-03-22 00:00:00,1995-03-24 00:00:00,3
1995-04-01 00:00:00,1995-04-01 00:00:00,1
1995-04-08 00:00:00,1995-04-09 00:00:00,2
1995-04-11 00:00:00,1995-04-12 00:00:00,2
1995-05-06 00:00:00,1995-05-06 00:00:00,1
1995-05-27 00:00:00,1995-05-29 00:00:00,3
1995-06-12 00:00:00,1995-06-13 00:00:00,2
1995-06-18 00:00:00,1995-06-23 00:00:00,6
1995-07-02 00:00:00,1995-07-03 00:00:00,2
1995-07-11 00:00:00,1995-07-11 00:00:00,1
1995-07-13 00:00:00,1995-07-14 00:00:00,2
1995-07-18 00:00:00,1995-08-03 00:00:00,17
