Date,Day,P[mm],E[mm],dS,CurrentlyWet_net,CurrentlyDry_net,CurrentlyWet,CurrentlyDry,Wet_net_streak,Dry_net_streak,Dry_streak,Wet_streak
1985-05-31,150,0.041342623,2.108602956,-2.067260333,0,1,1,0,0,1,0,40
1985-06-01,151,0.136630513,1.253289394,-1.116658881,0,1,1,0,0,2,0,41
1985-06-02,152,0.736051996,0.787394313,-0.051342316999999915,0,1,1,0,0,3,0,42
1985-06-03,153,4.496011117,0.600002992,3.8960081250000003,1,0,1,0,0,0,0,43
1985-06-04,154,46.60742764,0.751324898,45.856102742,1,0,1,0,1,0,0,44
1985-06-05,155,0.008372448,0.809546423,-0.801173975,0,1,1,0,0,0,0,45
1985-06-06,156,0.087115773,0.599374609,-0.512258836,0,1,1,0,0,1,0,46
1985-06-07,157,0.277537932,1.00688258,-0.7293446480000001,0,1,1,0,0,2,0,47
1985-06-08,158,1.103898236,1.661755111,-0.5578568749999999,0,1,1,0,0,3,0,48
1985-06-09,159,0.05543776,1.833504983,-1.778067223,0,1,1,0,0,4,0,49
1985-06-10,160,0.249461052,1.543101092,-1.2936400399999999,0,1,1,0,0,5,0,50
1985-06-11,161,2.178237204,1.813150788,0.36508641600000025,1,0,1,0,0,0,0,51
1985-06-12,162,0.002645775,1.267118405,-1.26447263,0,1,1,0,0,0,0,52
1985-06-13,163,0.0,1.612368997,-1.612368997,0,1,0,1,0,1,0,0
1985-06-14,164,0.0,1.452281123,-1.452281123,0,1,0,1,0,2,1,0
1985-06-15,165,0.046683486,0.996724223,-0.9500407369999999,0,1,1,0,0,3,0,0
1985-06-16,166,0.117501044,1.923822524,-1.80632148,0,1,1,0,0,4,0,1
1985-06-17,167,0.060560249,2.05238218,-1.991821931,0,1,1,0,0,5,0,2
1985-06-18,168,0.075601394,1.576562579,-1.500961185,0,1,1,0,0,6,0,3
1985-06-19,169,0.027433724,0.695069441,-0.667635717,0,1,1,0,0,7,0,4
1985-06-20,170,0.001353587,1.86845616,-1.867102573,0,1,1,0,0,8,0,5
1985-06-21,171,0.0,1.161408995,-1.161408995,0,1,0,1,0,9,0,0
1985-06-22,172,0.0,0.819104083,-0.819104083,0,1,0,1,0,10,1,0
1985-06-23,173,0.0,0.453206955,-0.453206955,0,1,0,1,0,11,2,0
1985-06-24,174,0.0,0.528364283,-0.528364283,0,1,0,1,0,12,3,0
1985-06-25,175,0.0,0.393422092,-0.393422092,0,1,0,1,0,13,4,0
1985-06-26,176,0.0,0.319322389,-0.319322389,0,1,0,1,0,14,5,0
1985-06-27,177,0.0,1.261623618,-1.261623618,0,1,0,1,0,15,6,0
1985-06-28,178,0.0,1.070642495,-1.070642495,0,1,0,1,0,16,7,0
