Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1988-11-14 00:00:00,1988-11-14 00:00:00,1
1988-11-17 00:00:00,1988-11-20 00:00:00,4
1988-11-23 00:00:00,1988-11-23 00:00:00,1
1988-12-04 00:00:00,1988-12-04 00:00:00,1
1989-01-10 00:00:00,1989-01-10 00:00:00,1
1989-01-17 00:00:00,1989-01-18 00:00:00,2
1989-02-09 00:00:00,1989-02-09 00:00:00,1
1989-02-23 00:00:00,1989-02-23 00:00:00,1
1989-03-11 00:00:00,1989-03-15 00:00:00,5
1989-04-15 00:00:00,1989-04-15 00:00:00,1
1989-04-17 00:00:00,1989-04-19 00:00:00,3
1989-05-04 00:00:00,1989-05-04 00:00:00,1
1989-05-25 00:00:00,1989-05-25 00:00:00,1
1989-06-15 00:00:00,1989-06-15 00:00:00,1
1989-06-20 00:00:00,1989-06-20 00:00:00,1
1989-07-05 00:00:00,1989-07-05 00:00:00,1
1989-07-07 00:00:00,1989-07-07 00:00:00,1
1989-07-14 00:00:00,1989-07-15 00:00:00,2
1989-07-19 00:00:00,1989-07-20 00:00:00,2
1989-07-22 00:00:00,1989-07-22 00:00:00,1
1989-07-26 00:00:00,1989-07-26 00:00:00,1
1989-07-30 00:00:00,1989-07-30 00:00:00,1
1989-08-04 00:00:00,1989-08-04 00:00:00,1
1989-08-10 00:00:00,1989-08-15 00:00:00,6
1989-08-26 00:00:00,1989-08-26 00:00:00,1
1989-08-28 00:00:00,1989-08-30 00:00:00,3
1989-09-03 00:00:00,1989-09-03 00:00:00,1
1989-09-06 00:00:00,1989-09-09 00:00:00,4
1989-09-14 00:00:00,1989-09-17 00:00:00,4
1989-09-19 00:00:00,1989-09-20 00:00:00,2
1989-09-23 00:00:00,1989-09-23 00:00:00,1
1989-09-27 00:00:00,1989-10-08 00:00:00,12
1989-10-12 00:00:00,1989-10-15 00:00:00,4
1989-10-29 00:00:00,1989-10-29 00:00:00,1
1989-11-29 00:00:00,1989-11-30 00:00:00,2
1989-12-12 00:00:00,1989-12-12 00:00:00,1
1989-12-21 00:00:00,1989-12-21 00:00:00,1
1989-12-28 00:00:00,1989-12-29 00:00:00,2
1989-12-31 00:00:00,1990-01-03 00:00:00,4
1990-01-06 00:00:00,1990-01-06 00:00:00,1
1990-01-08 00:00:00,1990-01-09 00:00:00,2
1990-01-18 00:00:00,1990-01-18 00:00:00,1
1990-01-20 00:00:00,1990-01-20 00:00:00,1
1990-01-28 00:00:00,1990-01-29 00:00:00,2
1990-03-08 00:00:00,1990-03-08 00:00:00,1
1990-03-10 00:00:00,1990-03-11 00:00:00,2
1990-03-15 00:00:00,1990-03-21 00:00:00,7
1990-04-28 00:00:00,1990-05-01 00:00:00,4
1990-05-06 00:00:00,1990-05-07 00:00:00,2
1990-05-20 00:00:00,1990-05-20 00:00:00,1
1990-06-01 00:00:00,1990-06-04 00:00:00,4
1990-06-22 00:00:00,1990-06-22 00:00:00,1
1990-06-27 00:00:00,1990-06-28 00:00:00,2
1990-06-30 00:00:00,1990-06-30 00:00:00,1
1990-07-03 00:00:00,1990-07-12 00:00:00,10
1990-07-21 00:00:00,1990-07-23 00:00:00,3
1990-07-25 00:00:00,1990-07-26 00:00:00,2
1990-08-05 00:00:00,1990-08-08 00:00:00,4
1990-08-12 00:00:00,1990-08-14 00:00:00,3
1990-08-17 00:00:00,1990-08-21 00:00:00,5
1990-08-23 00:00:00,1990-08-29 00:00:00,7
1990-09-04 00:00:00,1990-09-10 00:00:00,7
1990-09-12 00:00:00,1990-09-12 00:00:00,1
1990-09-17 00:00:00,1990-09-22 00:00:00,6
1990-09-26 00:00:00,1990-09-26 00:00:00,1
1990-09-28 00:00:00,1990-09-29 00:00:00,2
1990-10-03 00:00:00,1990-10-05 00:00:00,3
1990-10-13 00:00:00,1990-10-15 00:00:00,3
1990-10-23 00:00:00,1990-11-02 00:00:00,11
1990-11-10 00:00:00,1990-11-19 00:00:00,10
1990-11-25 00:00:00,1990-11-26 00:00:00,2
1990-11-29 00:00:00,1990-12-02 00:00:00,4
1990-12-08 00:00:00,1990-12-09 00:00:00,2
1990-12-16 00:00:00,1990-12-20 00:00:00,5
1991-01-08 00:00:00,1991-01-09 00:00:00,2
1991-01-12 00:00:00,1991-01-13 00:00:00,2
1991-01-15 00:00:00,1991-01-16 00:00:00,2
1991-01-24 00:00:00,1991-01-24 00:00:00,1
1991-02-01 00:00:00,1991-02-04 00:00:00,4
1991-02-11 00:00:00,1991-02-11 00:00:00,1
1991-02-15 00:00:00,1991-02-16 00:00:00,2
1991-02-21 00:00:00,1991-02-22 00:00:00,2
1991-03-15 00:00:00,1991-03-18 00:00:00,4
1991-03-20 00:00:00,1991-03-27 00:00:00,8
1991-04-05 00:00:00,1991-04-08 00:00:00,4
1991-04-13 00:00:00,1991-04-13 00:00:00,1
