day1check_E,day1check_sum_E,day1check_P,day1check_sum_P,day2check_E,day2check_sum_E,day2check_P,day2check_sum_P
0.0112738584,1.2139276161,0.006442204799999633,1.3556266997999589,0.0116764962,1.3510181849999998,0.0,0.8912291069999758
0.0045031042,1.2252014745000002,0.007098113399999792,1.3620689045999586,0.0052663422,1.3626946811999998,0.0006869141999997222,0.8912291069999758
0.0393567229,1.2297045787000003,0.060035678999999995,1.3691670179999584,0.0460273539,1.3679610234,0.0,0.8919160211999756
0.0420186731,1.2690613016000003,0.05768665289999935,1.4292026969999585,0.0491404821,1.4139883773,0.0,0.8919160211999756
0.0420005719,1.3110799747000004,0.04840743879999806,1.4868893498999578,0.0484074388,1.4631288594,0.0,0.8919160211999756
0.0419824353,1.3530805466000004,0.03984773519999935,1.5352967886999558,0.0476749689,1.5115362982,0.0,0.8919160211999756
0.041253010400000005,1.3950629819000004,0.039830492799999354,1.575144523899955,0.04694308080000001,1.5592112671,0.0,0.8919160211999756
0.0412351174,1.4363159923000004,0.05900887489999806,1.6149750166999544,0.0462117695,1.6061543479,0.0,0.8919160211999756
0.041217195400000003,1.4775511097000005,0.05045553229999935,1.6739838915999523,0.046902325800000005,1.6523661174,0.0014212825999987072,0.8919160211999756
0.0419095762,1.5187683051000005,0.049012894199997416,1.7244394238999516,0.0468818988,1.6992684432,0.0021309953999980613,0.8933373037999743
0.04118126440000001,1.5606778813000004,0.05751176579999936,1.773452318099949,0.0447313734,1.746150342,0.0007100217999993539,0.8954682991999724
0.04116324960000001,1.6018591457000004,0.063874008,1.8309640838999484,0.044002094400000004,1.7908817154,0.0,0.8961783209999717
0.024774195,1.6430223953000005,0.04867911999999921,1.8948380918999483,0.025643465,1.8348838098,0.0,0.8961783209999717
0.004396811800000001,1.6677965903000005,0.006216182199999862,1.9435172118999475,0.005154882800000001,1.8605272748,0.0,0.8961783209999717
0.036157629200000006,1.6721934021000004,0.05548325859999773,1.9497333940999473,0.042391703200000005,1.8656821576,0.0,0.8961783209999717
0.0420005719,1.7083510313000005,0.06264492079999806,2.005216652699945,0.0484074388,1.9080738608,0.0,0.8961783209999717
0.0419824353,1.7503516032000006,0.064041003,2.0678615734999433,0.0476749689,1.9564812996,0.0,0.8961783209999717
0.041253010400000005,1.7923340385000006,0.060456998000000005,2.131902576499943,0.047654339600000005,2.0041562685,0.0,0.8961783209999717
0.0412351174,1.8335870489000006,0.0725169305999987,2.192359574499943,0.0462117695,2.0518106081000003,0.0,0.8961783209999717
0.041217195400000003,1.8748221663000006,0.0675109235,2.2648765050999415,0.0454810432,2.0980223776000004,0.006395771699997415,0.8961783209999717
0.04119924440000001,1.9160393617000007,0.05469554859999871,2.3323874285999415,0.046171567,2.1435034208000006,0.007813649799999354,0.9025740926999691
0.04118126440000001,1.9572386061000007,0.05538170039999806,2.3870829771999404,0.045441395200000005,2.1896749878000006,0.004260130799999354,0.9103877424999685
0.04116324960000001,1.9984198705000007,0.06600314159999807,2.4424646775999386,0.044002094400000004,2.2351163830000007,0.0014194223999987091,0.9146478732999678
0.0375536178,2.0395831201000005,0.06851888159999761,2.5084678191999368,0.039530124,2.279118477400001,0.0,0.9160672956999665
2.9158e-05,2.0771367379000005,0.00014770199999999828,2.5769867007999343,3.3938e-05,2.318648601400001,1.434e-05,0.9160672956999665
0.0350564072,2.0771658959000003,0.15804118,2.5771344027999343,0.0408033592,2.318682539400001,0.005746952,0.9160816356999665
0.038227974100000006,2.1122223031000003,0.13599131769999884,2.7351755827999344,0.04449485510000001,2.359485898600001,0.0,0.9218285876999665
0.034449108,2.1504502772,0.10219902039999844,2.8711669004999334,0.040190626,2.403980753700001,0.0,0.9218285876999665
0.041772618,2.1848993852,0.09468460079999935,2.9733659208999317,0.048734721,2.4441713797000006,0.0,0.9218285876999665
0.042749232,2.2266720032,0.0705362327999974,3.068050521699931,0.049874104,2.492906100700001,0.0,0.9218285876999665
0.042730854,2.2694212352,0.05555011019999805,3.1385867544999284,0.0491404821,2.542780204700001,0.0,0.9218285876999665
0.042712446,2.3121520892,0.03844120139999741,3.1941368646999266,0.0484074388,2.591920686800001,0.0,0.9218285876999665
0.042694002,2.3548645352,0.021347001,3.232578066099924,0.0476749689,2.640328125600001,0.0007115666999993525,0.9218285876999665
0.042675528000000004,2.3975585372,0.01280265839999806,3.253925067099924,0.04694308080000001,2.688003094500001,0.004978811599998707,0.9225401543999658
0.042657018,2.4402340652000003,0.01848470779999935,3.2667277254999223,0.0476336701,2.734946175300001,0.007820453299999353,0.9275189659999645
0.042638478,2.4828910832,0.0248724455,3.2852124332999217,0.046902325800000005,2.7825798454000013,0.008527695599998707,0.9353394192999639
0.042619908,2.5255295612000004,0.025571944799999354,3.3100848787999215,0.046171567,2.8294821712000013,0.003551659,0.9438671148999626
